Operation,Latency_us,Cycles
X25519 Shared Secret,139358,22297118
X25519 Keygen,272847,43655396
X25519 Shared Secret,139666,22346450
X25519 Keygen,277040,44326376
X25519 Shared Secret,140824,22531734
X25519 Keygen,274841,43974452
X25519 Shared Secret,141180,22588748
X25519 Keygen,275655,44104719
X25519 Shared Secret,140467,22474554
X25519 Keygen,274783,43964563
X25519 Shared Secret,142226,22756062
X25519 Keygen,274439,43910114
X25519 Shared Secret,141175,22587934
ML-KEM-512 Keygen,9307,1488358
ML-KEM-512 Decap,12128,1939797
ML-KEM-512 Keygen,8313,1329362
ML-KEM-512 Decap,12127,1939627
ML-KEM-512 Keygen,8310,1328888
ML-KEM-512 Decap,12122,1938893
ML-KEM-512 Keygen,8313,1329362
ML-KEM-512 Decap,12156,1944263
ML-KEM-512 Keygen,8313,1329266
ML-KEM-512 Decap,12134,1940721
ML-KEM-512 Keygen,8308,1328552
ML-KEM-512 Decap,12133,1940529
ML-KEM-512 Keygen,8310,1328730
ML-KEM-512 Decap,12122,1938873
ML-KEM-512 Keygen,8308,1328432
ML-KEM-512 Decap,12129,1939785
ML-KEM-512 Keygen,8536,1365034
ML-KEM-512 Decap,12129,1939769
ML-KEM-512 Keygen,8314,1329504
ML-KEM-512 Decap,12133,1940489
ML-KEM-512 Keygen,8465,1353174
ML-KEM-512 Decap,12128,1939695
ML-KEM-512 Keygen,8605,1376146
ML-KEM-512 Decap,12330,1972157
ML-KEM-512 Keygen,8334,1332648
ML-KEM-512 Decap,12185,1948916
ML-KEM-512 Keygen,8308,1328424
ML-KEM-512 Decap,12140,1941765
ML-KEM-512 Keygen,8320,1330400
ML-KEM-512 Decap,12136,1940953
ML-KEM-512 Keygen,8313,1329358
ML-KEM-512 Decap,12133,1940625
ML-KEM-512 Keygen,8310,1328860
ML-KEM-512 Decap,12119,1938275
ML-KEM-512 Keygen,8322,1330766
ML-KEM-512 Decap,12137,1941177
ML-KEM-512 Keygen,8306,1328114
ML-KEM-512 Decap,12128,1939620
ML-KEM-512 Keygen,8313,1329362
ML-KEM-512 Decap,12139,1941493
ML-KEM-512 Keygen,8457,1351794
ML-KEM-512 Decap,12881,2059991
ML-KEM-512 Keygen,8419,1346342
ML-KEM-512 Decap,12131,1940359
ML-KEM-512 Keygen,8309,1328674
ML-KEM-512 Decap,12131,1940131
ML-KEM-512 Keygen,8398,1342920
ML-KEM-512 Decap,12129,1939875
ML-KEM-512 Keygen,8306,1328254
ML-KEM-512 Decap,12125,1939357
ML-KEM-512 Keygen,8318,1330188
ML-KEM-512 Decap,12135,1940947
ML-KEM-512 Keygen,8307,1328354
ML-KEM-512 Decap,12119,1938308
ML-KEM-512 Keygen,8318,1330252
ML-KEM-512 Decap,12143,1942225
ML-KEM-512 Keygen,8314,1329500
ML-KEM-512 Decap,12130,1940009
ML-KEM-512 Keygen,8318,1330160
ML-KEM-512 Decap,12130,1939939
ML-KEM-512 Keygen,8378,1339740
ML-KEM-512 Decap,12127,1939512
ML-KEM-512 Keygen,8518,1362236
ML-KEM-512 Decap,12349,1975059
ML-KEM-512 Keygen,8317,1329998
ML-KEM-512 Decap,12127,1939546
ML-KEM-512 Keygen,8317,1329896
ML-KEM-512 Decap,12138,1941475
ML-KEM-512 Keygen,8397,1342150
ML-KEM-512 Decap,12118,1938149
ML-KEM-512 Keygen,8512,1361286
ML-KEM-512 Decap,12137,1941215
ML-KEM-512 Keygen,8320,1330416
ML-KEM-512 Decap,12126,1939552
ML-KEM-512 Keygen,8397,1342740
ML-KEM-512 Decap,12138,1941395
ML-KEM-512 Keygen,8572,1370868
ML-KEM-512 Decap,12115,1937579
ML-KEM-512 Keygen,8309,1328660
ML-KEM-512 Decap,12142,1941886
ML-KEM-512 Keygen,8489,1356956
ML-KEM-512 Decap,12125,1939192
ML-KEM-512 Keygen,8306,1328252
ML-KEM-512 Decap,12141,1941889
ML-KEM-512 Keygen,8309,1328728
ML-KEM-512 Decap,12114,1937587
ML-KEM-512 Keygen,8517,1362066
ML-KEM-512 Decap,12339,1973527
ML-KEM-512 Keygen,8315,1329649
ML-KEM-512 Decap,12129,1939992
ML-KEM-512 Keygen,8304,1327904
ML-KEM-512 Decap,12137,1941065
ML-KEM-512 Keygen,8311,1329080
ML-KEM-512 Decap,12125,1939171
ML-KEM-512 Keygen,8314,1329598
ML-KEM-512 Decap,12136,1941089
ML-KEM-512 Keygen,8342,1334048
ML-KEM-512 Decap,12126,1939544
ML-KEM-512 Keygen,8318,1330190
ML-KEM-512 Decap,12131,1940345
ML-KEM-512 Keygen,8393,1342108
ML-KEM-512 Decap,12131,1940233
ML-KEM-512 Keygen,8312,1329142
ML-KEM-512 Decap,12135,1940801
ML-KEM-512 Keygen,8311,1329082
ML-KEM-512 Decap,12132,1940267
ML-KEM-512 Keygen,8317,1330004
ML-KEM-512 Decap,12137,1941225
ML-KEM-512 Keygen,8312,1329198
ML-KEM-512 Decap,12124,1939076
ML-KEM-512 Keygen,8320,1330376
