handshake_id,session_id,protocol,client_ip,client_port,start_time,end_time,turnaround_latency_ms,total_duration_ms,client_hello_bytes,server_hello_bytes,total_client_bytes,total_server_bytes,status
38,1,Hybrid-PQC,192.168.1.3,60457,2026-09-09T08:34:02.966297,2026-09-09T08:34:03.032082,1.057,65.785,1249,1268,1399,1268,SUCCESS
39,1,Hybrid-PQC,192.168.1.3,60458,2026-09-09T08:34:18.622179,2026-09-09T08:34:18.652255,1.200,30.076,1249,1268,1399,1268,SUCCESS
40,1,Hybrid-PQC,192.168.1.3,60459,2026-09-09T08:34:34.247450,2026-09-09T08:34:34.277600,1.173,30.150,1249,1268,1399,1268,SUCCESS
41,1,Hybrid-PQC,192.168.1.3,60460,2026-09-09T08:34:49.865854,2026-09-09T08:34:49.892631,0.820,26.777,1249,1268,1399,1268,SUCCESS
42,1,Hybrid-PQC,192.168.1.3,60461,2026-09-09T08:35:05.491132,2026-09-09T08:35:05.511028,0.854,19.896,1249,1268,1399,1268,SUCCESS
43,1,Hybrid-PQC,192.168.1.3,60462,2026-09-09T08:35:21.106951,2026-09-09T08:35:21.121305,0.826,14.354,1249,1268,1399,1268,SUCCESS
44,1,Hybrid-PQC,192.168.1.3,60463,2026-09-09T08:35:36.714057,2026-09-09T08:35:36.729861,1.113,15.804,1249,1268,1399,1268,SUCCESS
45,1,Hybrid-PQC,192.168.1.3,60464,2026-09-09T08:35:52.327222,2026-09-09T08:35:52.356327,0.951,29.105,1249,1268,1399,1268,SUCCESS
46,1,Hybrid-PQC,192.168.1.3,60465,2026-09-09T08:36:07.946649,2026-09-09T08:36:07.978030,1.304,31.381,1249,1268,1399,1268,SUCCESS
47,1,Hybrid-PQC,192.168.1.3,60466,2026-09-09T08:36:23.627903,2026-09-09T08:36:23.744298,1.531,116.395,1249,1268,1399,1268,SUCCESS
48,1,Hybrid-PQC,192.168.1.3,60467,2026-09-09T08:36:39.443528,2026-09-09T08:36:39.565824,1.368,122.296,1249,1268,1399,1268,SUCCESS
49,1,Hybrid-PQC,192.168.1.3,60468,2026-09-09T08:36:55.156746,2026-09-09T08:36:55.167637,1.197,10.891,1249,1268,1399,1268,SUCCESS
50,1,Hybrid-PQC,192.168.1.3,60469,2026-09-09T08:37:10.763276,2026-09-09T08:37:10.775931,0.780,12.655,1249,1268,1399,1268,SUCCESS
51,1,Hybrid-PQC,192.168.1.3,60470,2026-09-09T08:37:26.369381,2026-09-09T08:37:26.384725,0.887,15.344,1249,1268,1399,1268,SUCCESS
52,1,Hybrid-PQC,192.168.1.3,60471,2026-09-09T08:37:42.011131,2026-09-09T08:37:42.039430,1.070,28.299,1249,1268,1399,1268,SUCCESS
53,1,Hybrid-PQC,192.168.1.3,60472,2026-09-09T08:37:57.678885,2026-09-09T08:37:57.702234,1.912,23.349,1249,1268,1399,1268,SUCCESS
54,1,Hybrid-PQC,192.168.1.3,60473,2026-09-09T08:38:13.293014,2026-09-09T08:38:13.320693,1.443,27.679,1249,1268,1399,1268,SUCCESS
55,1,Hybrid-PQC,192.168.1.3,60474,2026-09-09T08:38:29.045192,2026-09-09T08:38:29.066620,0.938,21.428,1249,1268,1399,1268,SUCCESS
56,1,Hybrid-PQC,192.168.1.3,60475,2026-09-09T08:38:44.664814,2026-09-09T08:38:44.682760,0.985,17.946,1249,1268,1399,1268,SUCCESS
57,1,Hybrid-PQC,192.168.1.3,60476,2026-09-09T08:39:00.277958,2026-09-09T08:39:00.302184,1.018,24.226,1249,1268,1399,1268,SUCCESS
58,1,Hybrid-PQC,192.168.1.3,60477,2026-09-09T08:39:15.914927,2026-09-09T08:39:15.936910,0.910,21.983,1249,1268,1399,1268,SUCCESS
59,1,Hybrid-PQC,192.168.1.3,60478,2026-09-09T08:39:31.539942,2026-09-09T08:39:31.560055,0.868,20.113,1249,1268,1399,1268,SUCCESS
60,1,Hybrid-PQC,192.168.1.3,60479,2026-09-09T08:39:47.161215,2026-09-09T08:39:47.182090,1.320,20.875,1249,1268,1399,1268,SUCCESS
61,1,Hybrid-PQC,192.168.1.3,60480,2026-09-09T08:40:02.814038,2026-09-09T08:40:02.836668,1.286,22.630,1249,1268,1399,1268,SUCCESS
62,1,Hybrid-PQC,192.168.1.3,60481,2026-09-09T08:40:18.482654,2026-09-09T08:40:19.940620,0.929,1457.966,1249,1268,1549,1268,SUCCESS
63,1,Hybrid-PQC,192.168.1.3,60482,2026-09-09T08:40:35.582322,2026-09-09T08:40:36.812956,1.066,1230.634,1249,1268,1549,1268,SUCCESS
64,1,Hybrid-PQC,192.168.1.3,60483,2026-09-09T08:40:52.479899,2026-09-09T08:40:52.608789,0.864,128.890,1249,1268,1399,1268,SUCCESS
65,1,Hybrid-PQC,192.168.1.3,60484,2026-09-09T08:41:08.200277,2026-09-09T08:41:08.225690,0.908,25.413,1249,1268,1399,1268,SUCCESS
66,1,Hybrid-PQC,192.168.1.3,60485,2026-09-09T08:41:23.813961,2026-09-09T08:41:23.832556,1.468,18.595,1249,1268,1399,1268,SUCCESS
67,1,Hybrid-PQC,192.168.1.3,60486,2026-09-09T08:41:39.479455,2026-09-09T08:41:39.500409,1.322,20.954,1249,1268,1399,1268,SUCCESS
68,1,Hybrid-PQC,192.168.1.3,60487,2026-09-09T08:41:55.146473,2026-09-09T08:41:55.168964,0.789,22.491,1249,1268,1399,1268,SUCCESS
